# tau_n,Omegabh2,p_npdg,p_dpHe3g,Yp,DoH,He3oH,Li7oH
8.794069e+02,2.207279e-02,-1.100661e+00,-2.551642e-01,2.469026e-01,2.578370e+00,1.049092e+00,5.155694e+00
8.801974e+02,2.242437e-02,-2.384364e-01,-1.536272e+00,2.472163e-01,2.541682e+00,1.030442e+00,5.250337e+00
8.799141e+02,2.236073e-02,-1.147779e-01,-1.477208e+00,2.471233e-01,2.547799e+00,1.032163e+00,5.232794e+00
8.799051e+02,2.205921e-02,1.592912e+00,-5.838869e-01,2.470061e-01,2.587389e+00,1.048775e+00,5.196321e+00
8.797325e+02,2.229636e-02,-3.546973e-01,-8.279884e-03,2.470683e-01,2.532502e+00,1.046383e+00,5.309767e+00
8.807966e+02,2.235468e-02,-2.439250e+00,-6.082479e-01,2.473066e-01,2.537626e+00,1.038636e+00,5.227118e+00
8.792769e+02,2.238341e-02,5.044446e-01,6.252119e-01,2.470150e-01,2.500289e+00,1.049680e+00,5.440019e+00
8.781979e+02,2.232659e-02,-6.990219e-01,-2.792209e-01,2.467618e-01,2.531835e+00,1.042733e+00,5.285842e+00
8.803626e+02,2.234368e-02,4.263102e-02,-9.650127e-01,2.472220e-01,2.541852e+00,1.037211e+00,5.273413e+00
8.791254e+02,2.252104e-02,-8.670470e-02,-2.780963e-01,2.470334e-01,2.494187e+00,1.038019e+00,5.415594e+00
8.794647e+02,2.248391e-02,-2.737040e-01,2.258598e-01,2.470922e-01,2.492329e+00,1.043719e+00,5.427408e+00
8.801857e+02,2.186994e-02,7.903406e-01,3.248847e-01,2.469845e-01,2.603723e+00,1.060777e+00,5.153924e+00
8.784386e+02,2.225238e-02,-1.532865e+00,1.878379e+00,2.467810e-01,2.501434e+00,1.062712e+00,5.417737e+00
8.786490e+02,2.227530e-02,-5.170142e-01,-6.689093e-01,2.468376e-01,2.547160e+00,1.040748e+00,5.240821e+00
8.784392e+02,2.203719e-02,6.840379e-01,-7.347866e-02,2.466895e-01,2.577736e+00,1.052564e+00,5.201213e+00
8.789235e+02,2.231413e-02,-6.140848e-01,4.261239e-01,2.469073e-01,2.516491e+00,1.049062e+00,5.352542e+00
8.796638e+02,2.248731e-02,-1.608807e+00,-2.342296e-02,2.471321e-01,2.500509e+00,1.040566e+00,5.368077e+00
8.797145e+02,2.213701e-02,6.685553e-01,-5.006181e-01,2.470007e-01,2.568815e+00,1.046344e+00,5.225560e+00
